Question,Answer,Reason
"กรมที่ดินได้รับการจัดสรรงบประมาณค่าก่อสร้างอาคารสํานักงานที่ดิน จํานวนเงิน 28,000,000 บาท 
ในการเผยแพร่ประกาศและเอกสาร ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ กําหนดให้ระยะเวลาสําหรับผู้ประกอบการ
เตรียมตัวการจัดทําเอกสารกี่วัน",ไม่น้อยกว่า 12 วันทําการ,ระเบียบกระทรวงการคลัง ว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ   พ.ศ. 2560 ข้อ 51 (3) หน้า 17
คณะกรรมการซื้อหรือจ้าง แต่ละคณะประกอบด้วย ประธานและกรรมการจํานวนเท่าไรเป็นอย่างน้อย,ประธานกรรมการ 1 คน กรรมการอย่างน้อย 2 คน,ระเบียบกระทรวงการคลัง ว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ   พ.ศ. 2560 ข้อ 23 หน้า 10
วิธีการซื้อหรือจ้าง กระทําได้กี่วิธี อะไรบ้าง,"มี 3 วิธี คือ วิธีเฉพาะเจาะจง, วิธีคัดเลือก, วิธีประกาศเชิญชวนทั่วไป",ระเบียบกระทรวงการคลัง ว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ   พ.ศ. 2560 ข้อ 28 หน้า 11 
"หลักประกันการเสนอราคาและหลักประกันสัญญาให้กําหนดมูลค่าเป็นจํานวนเต็มในอัตราร้อยละ
เท่าไหร่ของวงเงินงบประมาณหรือราคาพัสดุที่จะจัดซื้อจัดจ้าง",อัตราร้อยละ 5,ระเบียบกระทรวงการคลัง ว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ   พ.ศ. 2560  ข้อ 168 
วิธีการสอบราคา คือการจัดซื้อจัดจ้างครั้งหนึ่ง ซึ่งมีวงเงินอย่างไร,"วงเงินเกิน 500,000 แต่ไม่เกิน 5,000,000",ระเบียบกระทรวงการคลัง ว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ   พ.ศ. 2560  ข้อ 32 (หน้า 12) 
"กรมที่ดินจะดําเนินการซื้อกล้องสํารวจแบบประมวลผลรวม ราคา 600,000 บาท จะต้อง
ดําเนินการโดยวิธีใด",วิธีประกวดราคาอิเล็กทรอนิกส์ (E-bidding),ระเบียบกระทรวงการคลัง ว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ   พ.ศ. 2560 ข้อ 31 (หน้า 12)
"การขายอุปกรณ์อิเล็กทรอนิกส์ (โทรศัพท์, แท็บเล็ต) ให้แก่เจ้าหน้าที่ของรัฐที่หน่วยงานของรัฐ
มอบไว้ให้ใช้งานในหน้าที่ เมื่อบุคคลดังกล่าวพ้นจากหน้าที่หรืออุปกรณ์พ้นระยะเวลาการใช้งานแล้ว ให้ขายให้แก่
บุคคลดังกล่าวโดยวิธีใด",วิธีเฉพาะเจาะจง,ระเบียบกระทรวงการคลัง ว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ   พ.ศ. 2560 ข้อ 125 (ค) หน้า 68 
"ตุลาการศาลปกครองเป็น “หัวหน้าหน่วยงานของรัฐ” ตามระเบียบกระทรวงการคลัง ว่าด้วยการ
จัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 หรือไม่",ไม่เป็น,ระเบียบกระทรวงการคลัง ว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 ข้อ 4 หน้า 1
"การเช่าอสังหาริมทรัพย์ และเช่าสังหาริมทรัพย์ ในกรณีมีความจําเป็นต้องจ่ายเงินค่าเช่าล่วงหน้า 
กระทําได้เฉพาะกรณีการเช่าซึ่งมีระยะเวลาอย่างไร",ระยะเวลาไม่เกิน 3 ปี,ระเบียบกระทรวงการคลัง ว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ   พ.ศ. 2560 ข้อ 92 หน้า 29 
"“ราคากลาง” ตามหลักเกณฑ์ที่คณะกรรมการ ป.ป.ช.กําหนด มีความหมายตามพ.ร.บ. 
การจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 ใช่หรือไม่","ไม่ใช่ ราคากลาง หมายความว่า ราคาเพื่อใช้เป็นฐานสําหรับเปรียบเทียบราคาที่ผู้ยื่นข้อเสนอ 
ได้ยื่นเสนอไว้ซึ่งสามารถจัดซื้อจัดจ้างได้จริงตามลําดับ ดังต่อไปนี้ 
  
  
(1) ราคาที่ได้มาจากการคํานวณตามหลักเกณฑ์ที่คณะกรรมการราคากลางกําหนด 
  
  
(2) ราคาที่ได้มาจากฐานข้อมูลราคาอ้างอิงของพัสดุที่กรมบัญชีกลางจัดทํา 
  
  
(3) ราคามาตรฐานที่สํานักงบประมาณหรือหน่วยงานกลางอื่นกําหนด 
  
  
(4) ราคาที่ได้มาจากการสืบราคาจากท้องตลาด 
  
  
(5) ราคาที่เคยซื้อหรือจ้างครั้งหลังสุดภายในระยะเวลาสองปีงบประมาณ 
  
  
(6) ราคาอื่นใดตามหลักเกณฑ์ วิธีการ หรือแนวทางปฏิบัติของหน่วยงานของรัฐนั้น ๆ",พ.ร.บ.การจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 มาตรา 4
"โทษ สําหรับเจ้าหน้าที่ที่ปฏิบัติหรือละเว้นการปฏิบัติหน้าที่ในการจัดซื้อจัดจ้างโดยทุจริต  
ตาม พ.ร.บ.การจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 มีอัตราโทษเท่าใด","ผู้ใดเป็นเจ้าหน้าที่หรือเป็นผู้มีอํานาจหน้าที่ในการดําเนินการเกี่ยวกับการจัดซื้อจัดจ้างหรือ 
การบริหารพัสดุ ปฏิบัติหรือละเว้นการปฏิบัติหน้าที่ในการจัดซื้อจัดจ้างหรือการบริหารพัสดุตามพระราชบัญญัตินี้ 
กฎกระทรวง ระเบียบ หรือประกาศที่ออกตามความในพระราชบัญญัตินี้ โดยทุจริต ต้องระวางโทษจําคุกตั้งแต่ 
หนึ่งปีถึงสิบปี หรือปรับตั้งแต่สองหมื่นบาทถึงสองแสนบาทหรือทั้งจําทั้งปรับ",พ.ร.บ.การจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 มาตรา 120 วรรคหนึ่ง
พ.ร.บ.การจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 มีผลบังคับใช้เมื่อใด,"เมื่อพ้นกําหนดหนึ่งร้อยแปดสิบวันนับแต่วันประกาศ ในราชกิจจานุเบกษาเป็นต้นไป ซึ่งได้
ประกาศในราชกิจจานุเบกษา เมื่อวันที่ 24 กุมภาพันธ์ 2560 ครบกําหนด 180 วัน เมื่อวันที่ 23 สิงหาคม 2560",พ.ร.บ.การจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 มาตรา 2
ใครเป็นประธานกรรมการคณะกรรมการราคากลางและขึ้นทะเบียนผู้ประกอบการ ตาม พ.ร.บ.การจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560,อธิบดีกรมบัญชีกลาง เป็นประธานกรรมการคณะกรรมการราคากลางและขึ้นทะเบียน ผู้ประกอบการ โดยตําแหน่ง,พ.ร.บ.การจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 มาตรา 32
"การตีความและวินิจฉัยปัญหาข้อหารือเกี่ยวกับหลักเกณฑ์และวิธีการตามที่ พ.ร.บ. การจัดซื้อ 
จัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 กําหนด เป็นอํานาจหน้าที่ของคณะกรรมการพิจารณาอุทธรณ์ 
และข้อร้องเรียน ใช่หรือไม่","ไม่ใช่ คณะกรรมการพิจารณาอุทธรณ์มีอํานาจหน้าที่ ดังต่อไปนี้ 
  
(1) พิจารณาและวินิจฉัยอุทธรณ์ตามมาตรา 119 
  
(2) พิจารณาข้อร้องเรียนกรณีที่เห็นว่าหน่วยงานของรัฐมิได้ปฏิบัติให้เป็นไปตามแนวทางของ
พระราชบัญญัตินี้ กฎกระทรวง หรือระเบียบที่ออกตามความในพระราชบัญญัตินี้ 
  
(3) จัดทํารายงานเกี่ยวกับปัญหาและอุปสรรคในการดําเนินการพิจารณาอุทธรณ์และข้อร้องเรียนเสนอ
คณะกรรมการนโยบายอย่างน้อยปีละหนึ่งครั้ง  
  
(4) ปฏิบัติหน้าที่อื่นตามที่กําหนดในพระราชบัญญัตินี้ หรือตามที่คณะกรรมการ-นโยบายรัฐมนตรี หรือ
คณะรัฐมนตรีมอบหมาย",พ.ร.บ.การจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 มาตรา 43
"กรณีมีความจําเป็นต้องใช้พัสดุนั้นโดยฉุกเฉิน เนื่องจากเกิดอุบัติภัยหรือภัยธรรมชาติ หรือเกิด
โรคติดต่ออันตราย เป็นเงื่อนไขการจัดซื้อจัดจ้างโดยวิธีคัดเลือก ตาม พ.ร.บ.การจัดซื้อจัดจ้างและการบริหารพัสดุ
ภาครัฐ พ.ศ. 2560 ใช่หรือไม่","ไม่ใช่ มาตรา 56 การจัดซื้อจัดจ้างพัสดุ ให้หน่วยงานของรัฐเลือกใช้วิธีประกาศเชิญชวน 
ทั่วไปก่อน  เว้นแต่  
  
(1)  กรณีดังต่อไปนี้ ให้ใช้วิธีคัดเลือก 
  
 
(ก) ใช้วิธีประกาศเชิญชวนทั่วไปแล้ว แต่ไม่มีผู้ยื่นข้อเสนอ หรือข้อเสนอนั้นไม่ได้รับการคัดเลือก 
  
 
(ข) พัสดุที่ต้องการจัดซื้อจัดจ้างมีคุณลักษณะเฉพาะเป็นพิเศษหรือซับซ้อนหรือต้องผลิต จําหน่าย 
ก่อสร้าง หรือให้บริการโดยผู้ประกอบการที่มีฝีมือโดยเฉพาะ หรือมีความชํานาญเป็นพิเศษ หรือมีทักษะสูง  
และผู้ประกอบการนั้นมีจํานวนจํากัด 
  
 
(ค) มีความจําเป็นเร่งด่วนที่ต้องใช้พัสดุนั้นอันเนื่องมาจากเกิดเหตุการณ์ที่ไม่อาจคาดหมายได้  
ซึ่งหากใช้วิธีประกาศเชิญชวนทั่วไปจะทําให้ไม่ทันต่อความต้องการใช้พัสดุ 
  
 
(ง) เป็นพัสดุที่โดยลักษณะของการใช้งาน หรือมีข้อจํากัดทางเทคนิคที่จําเป็นต้องระบุยี่ห้อ 
เป็นการเฉพาะ 
  
 
(จ) เป็นพัสดุที่จําเป็นต้องซื้อโดยตรงจากต่างประเทศ หรือดําเนินการโดยผ่านองค์การระหว่าง
ประเทศ(ช) เป็นงานจ้างซ่อมพัสดุที่จําเป็นต้องถอดตรวจ ให้ทราบความชํารุดเสียหายเสียก่อนจึงจะประมาณ
ค่าซ่อมได้ เช่น งานจ้างซ่อมเครื่องจักร เครื่องมือกล เครื่องยนต์ เครื่องไฟฟ้า หรือเครื่องอิเล็กทรอนิกส์ 
  
 
(ซ) กรณีอื่นตามที่กําหนดในกฎกระทรวง",พ.ร.บ.การจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 มาตรา 56 (1)
"คุณสมบัติหรือลักษณะต้องห้ามอื่นตามที่คณะกรรมการนโยบายประกาศกําหนด  
เป็นหลักเกณฑ์อื่นที่ต้องใช้พิจารณาประกอบในการจัดซื้อจัดจ้างโดยวิธีประกาศเชิญชวน และวิธีคัดเลือก  
ตาม พ.ร.บ.การจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 ใช่หรือไม่","มาตรา 65  ในการพิจารณาคัดเลือกข้อเสนอโดยวิธีตามมาตรา 55 (1) หรือ (2)  ให้หน่วยงาน
ของรัฐดําเนินการโดยพิจารณาถึงประโยชน์ของหน่วยงานของรัฐ และวัตถุประสงค์ของการใช้งานเป็นสําคัญ  
โดยให้คํานึงถึงเกณฑ์ราคาและพิจารณาเกณฑ์อื่นประกอบด้วย ดังต่อไปนี้ 
  
  
(1) ต้นทุนของพัสดุนั้นตลอดอายุการใช้งาน 
  
  
(2) มาตรฐานของสินค้าหรือบริการ 
  
  
(3) บริการหลังการขาย 
  
  
(4) พัสดุที่รัฐต้องการส่งเสริมหรือสนับสนุน 
  
  
(5) การประเมินผลการปฏิบัติงานของผู้ประกอบการ 
  
  
(6) ข้อเสนอด้านเทคนิคหรือข้อเสนออื่น ในกรณีที่กําหนดให้มีการยื่นข้อเสนอด้านเทคนิค 
หรือข้อเสนออื่นก่อนตามวรรคหก 
  
  
(7) เกณฑ์อื่นตามที่กําหนดในกฎกระทรวง",พ.ร.บ.การจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 มาตรา 65
"กรมที่ดินได้ทําสัญญาซื้อขายกระดาษโฉนดที่ดิน จากบริษัท วันดี จํากัด  
วงเงิน 5,000,000 บาท เมื่อวันที่ 31 มีนาคม 2560 กําหนดส่งของภายใน 60 วัน บริษัทฯ ได้ส่งมอบของ 
เมื่อวันที่ 28 พฤษภาคม 2560 คณะกรรมการตรวจรับพัสดุ ได้ตรวจรับวันที่ 31 พฤษภาคม 2560 ปรากฏว่า
บริษัทฯ ส่งมอบของไม่ถูกต้อง กรมที่ดินได้มีหนังสือ ลงวันที่ 3 มิถุนายน 2560 แจ้งบริษัทฯ แก้ไข ซึ่งบริษัทฯ 
ได้รับหนังสือวันที่ 5 มิถุนายน 2560 และส่งมอบของใหม่ ในวันที่ 7 มิถุนายน 2560 บริษัท วันดี จํากัด  
ต้องถูกปรับจากการส่งมอบครั้งนี้ของหรือไม่","บริษัท วันดี จํากัด ไม่ต้องถูกปรับจากการส่งมอบของครั้งนี้  วิธีการคิดค่าปรับ ดังนี้  
  
บริษัทฯ ส่งมอบกระดาษโฉนดที่ดินให้กรมที่ดิน เมื่อวันที่ 28 พฤษภาคม 2560 ก่อนครบกําหนดสัญญา  
2 วัน (สัญญาครบกําหนดวันที่ 30 พฤษภาคม 2560) คณะกรรมการตรวจรับพัสดุ ตรวจรับเมื่อวันที่ 31 พฤษภาคม 
2561 และกรมที่ดินแจ้งผลการตรวจรับให้บริษัทฯ ทราบ เมื่อวันที่ 5 มิถุนายน 2560 ซึ่งบริษัทฯ ได้ใช้เวลา 2 วัน 
ในการส่งมอบของให้ใหม่เมื่อวันที่ 7 มิถุนายน 2560 และเมื่อคณะกรรมการฯ ตรวจรับครั้งที่ 2 เมื่อวันที่ 9 
มิถุนายน 2560 ปรากฏว่า ครบถ้วน ถูกต้อง  จึงต้องถือว่าบริษัทฯ ส่งมอบของถูกต้องตั้งแต่วันที่ 5 มิถุนายน 2560ู
ุ
ตรวจรับล่าช้า จนถึงวันที่บริษัทฯ ได้รับทราบผลการตรวจรับ (วันที่ 29 พฤษภาคม –  5 มิถุนายน 2560) ซึ่งเป็น
เหตุของการลดค่าปรับ ตามมาตรา 102 เป็นเวลา 8 วัน (ค่าปรับ = (วันที่ 31 พ.ค. – 7 มิ.ย. 60 = 8 วัน) หักด้วย
ระยะเวลาที่ใช้ไปในการตรวจรับ (วันที 29 พ.ค. – 5 มิ.ย. 60 = 8 วัน))",พ.ร.บ.การจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 มาตรา 102 การงดหรือ  ลดค่าปรับให้แก่คู่สัญญา หรือการขยายเวลาทําการตามสัญญาหรือข้อตกลง ให้อยู่ในดุลพินิจของผู้มีอํานาจ  ที่จะพิจารณาได้ตามจํานวนวันที่มีเหตุเกิดขึ้นจริง เฉพาะในกรณี ดังต่อไปนี้     (1) เหตุเกิดจากความผิดหรือความบกพร่องของหน่วยงานของรัฐ     (2) เหตุสุดวิสัย     (3) เหตุเกิดจากพฤติการณ์อันหนึ่งอันใดที่คู่สัญญาไม่ต้องรับผิดตามกฎหมาย     (4) เหตุอื่นตามที่กําหนดในกฎกระทรวง
"บริษัท ซีพีก่อสร้าง จํากัด ส่งมอบงานจ้างก่อสร้างอาคารสํานักงานที่ดิน ซึ่งในระหว่างประกัน
ความชํารุดบกพร่อง 2 ปี ปรากฏว่าฟ้าเพดานแตกร้าว บริษัทฯ รับทราบแล้วแต่ไม่ยอมเข้ามาซ่อมแก้ไข กรณีดังกล่าว
ถือว่าเป็นการกระทําโดยไม่มีเหตุผลอันสมควร เป็นเหตุให้ถูกสั่งลงโทษเป็นผู้ทิ้งงาน   ตาม พ.ร.บ.การจัดซื้อจัดจ้างและ
การบริหาร พัสดุภาครัฐ พ.ศ. 256 หรือไม่","ไม่เข้าลักษณะการกระทําอันมีลักษณะเป็นเหตุให้ถูกสั่งลงโทษเป็นผู้ทิ้งงาน ตาม มาตรา 109 ดังนี้  
  
(1) เป็นผู้ยื่นข้อเสนอที่ได้รับการคัดเลือกแล้วไม่ยอมไปทําสัญญาหรือข้อตกลงเป็นหนังสือกับหน่วยงาน 
ของรัฐภายในเวลาที่กําหนด 
  
(2) คู่สัญญาของหน่วยงานของรัฐหรือผู้รับจ้างช่วงที่หน่วยงานของรัฐอนุญาตให้รับช่วงงานได้ไม่ปฏิบัติตาม
สัญญาหรือข้อตกลงเป็นหนังสือนั้น 
  
(3) เมื่อปรากฏว่าผู้ยื่นข้อเสนอหรือคู่สัญญาของหน่วยงานของรัฐกระทําการอันมีลักษณะเป็นการขัดขวาง
การแข่งขันราคาอย่างเป็นธรรม หรือกระทําการโดยไม่สุจริต 
  
(4) เมื่อปรากฏว่าผลการปฏิบัติตามสัญญาของที่ปรึกษาหรือผู้ให้บริการงานจ้างออกแบบหรือควบคุม 
งานก่อสร้างมีข้อบกพร่อง ผิดพลาด หรือก่อให้เกิดความเสียหายแก่หน่วยงานของรัฐอย่างร้ายแรง 
  
(5) เมื่อปรากฏว่าผู้ให้บริการงานจ้างออกแบบหรือควบคุมงานก่อสร้างหรือผู้ประกอบการงานก่อสร้าง 
ไม่ปฏิบัติตามมาตรา 88 
  
(6) การกระทําอื่นตามที่กําหนดในกฎกระทรวง",พ.ร.บ.การจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 มาตรา 109
บริษัท ดํารงก่อสร้าง จํากัด ขอขยายระยะเวลาการก่อสร้างอาคารสํานักงานที่ดินออกไปอีก 60 วัน เนื่องจากการก่อสร้างในช่วงฤดูฝนน้ําท่วมขัง ถนนตัดขาด ไม่สามารถทํางานก่อสร้างได้ กรณีดังกล่าวถือเป็น เหตุที่จะนํามาพิจารณาขยายระยะเวลาทําการตามสัญญา ตาม พ.ร.บ.การจัดซื้อจัดจ้างและการบริหารพัสดุ ภาครัฐ พ.ศ. 2560 ได้หรือไม่,บริษัท ดํารงก่อสร้าง จํากัด ไม่สามารถอ้างเหตุที่มีน้ําท่วมขัง และถนนตัดขาด เพื่อมาขอขยาย ระยะเวลาได้ เนื่องจากในช่วงฤดูฝน เป็นเหตุการณ์ปกติตามฤดูกาลที่เกิดขึ้น มิใช่เหตุสุดวิสัย เพราะเกิดอุทกภัย แต่อย่างใด ผู้รับจ้างจึงไม่อาจอ้างเอาเหตุที่ฝนตกน้ําท่วมบริเวณที่ก่อสร้างมาเป็นอุปสรรคเพื่อขอต่ออายุสัญญาได้ (คําพิพากษาศาลปกครองสูงสุด ที่ อ.303/2554),พ.ร.บ.การจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 มาตรา 102 การงดหรือ ลดค่าปรับให้แก่คู่สัญญา หรือการขยายเวลาทําการตามสัญญาหรือข้อตกลง ให้อยู่ในดุลพินิจของผู้มีอํานาจ ที่จะพิจารณาได้ตามจํานวนวันที่มีเหตุเกิดขึ้นจริง เฉพาะในกรณี ดังต่อไปนี้ (1) เหตุเกิดจากความผิดหรือความบกพร่องของหน่วยงานของรัฐ (2) เหตุสุดวิสัย (3) เหตุเกิดจากพฤติการณ์อันหนึ่งอันใดที่คู่สัญญาไม่ต้องรับผิดตามกฎหมาย (4) เหตุอื่นตามที่กําหนดในกฎกระทรวง
"ราคากลางที่จะจัดซื้อจัดจ้าง เป็นรายการที่ต้องระบุไว้ในแผนการจัดซื้อจัดจ้างประจําปี
ตามระเบียบกระทรวงการคลังว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 หรือไม่ ",ไม่ใช่,ตามระเบียบกระทรวงการคลังว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 หมวด 1 ส่วนที่ 5 ข้อ 11 แผนการจัดซื้อจัดจ้างประจําปีให้ประกอบด้วยรายการอย่างน้อย ดังต่อไปนี้ 1. ชื่อโครงการที่จะจัดซื้อจัดจ้าง 2. วงเงินที่จะจัดซื้อจัดจ้างโดยประมาณ 3. ระยะเวลาที่คาดว่าจะจัดซื้อจัดจ้าง 4. รายการอื่นตามที่กรมบัญชีกลางกําหนด
